iso3;EMP_1990;EMP_1995;EMP_2000;EMP_2005;EMP_2010;EMP_2011;EMP_2012;EMP_2013
BRN;-1;-1;-1;-1;-1;-1;-1;-1
BGR;-1;0,978301789;-1;1,057453635;1,063386973;1,063386973;1,155208969;1,163909516
BFA;-1;-1;-1;-1;-1;0,887832164;0,600870438;0,601547471
BDI;-1;-1;0,6506249;0,670805134;0,689702;0,689702;0,690384692;0,690385315
KHM;-1;0,759391685;0,773184852;0,779004238;0,778501648;0,778501648;0,780345798;0,779820293
CMR;-1;0,776038989;-1;0,831225768;0,859720796;0,859720796;0,859712943;0,862688196
CAN;-1;1,125486707;-1;1,154972706;1,159988799;1,161825941;1,188300981;1,188804545
CPV;-1;-1;-1;-1;-1;-1;-1;-1
CAF;-1;0,73700748;-1;0,782769524;-1;0,796050516;0,796134321;0,796050516
TCD;-1;-1;-1;-1;-1;0,663878697;0,670231942;0,669709037
CHL;-1;0,959089564;0,98437401;1,014054084;1,040464047;1,040464047;1,0651243;1,065133858
CHN;-1;0,957861264;0,900450287;1,018407637;1,043078594;1,043078594;1,05291462;1,056375373
COL;-1;0,902938602;0,914342024;0,904360481;0,948908419;0,948908419;0,985638597;0,985664097
COM;-1;-1;-1;-1;-1;-1;-1;-1
COG;-1;-1;0,938258511;0,937759328;0,932896549;0,934322029;0,934283979;0,934375916
COD;-1;-1;-1;0,83294261;0,834579793;0,834579793;0,836488989;0,835238935
CRI;-1;0,922450059;0,96577841;0,982638037;1,013835944;1,013835944;1,014019852;1,013916555
HRV;-1;0,96337518;1,00738462;1,030064573;1,055415737;1,055415737;1,147154181;1,147253559
CUB;-1;1,042186748;1,076424148;1,101282689;1,120327245;1,120327245;1,1208613;1,12099207
CYP;-1;0,976021542;-1;1,021858045;1,039061437;1,03276118;1,0605261;1,060585121
CZE;-1;1,041796498;1,062238615;1,156533765;1,127790246;1,127790246;1,172756797;1,171843998
CIV;-1;0,758588658;-1;0,799949238;0,816327994;0,794568144;0,819309218;0,818700265
DNK;-1;1,01913673;1,03203682;1,043610104;1,055542881;1,056104395;1,189035998;1,189025166
DJI;-1;-1;-1;-1;-1;-1;-1;-1
DMA;-1;-1;-1;-1;-1;0,70895334;0,821616851;0,8215552
DOM;-1;0,874855327;0,907658273;0,920642099;0,944887312;0,944887312;0,990650021;0,990599238
ECU;-1;0,866421808;0,900936195;0,924583413;0,967409395;0,963280592;0,938179941;0,942688899
EGY;-1;0,841192364;0,869818967;0,912690791;-1;-1;0,920078192;0,93479435
SLV;-1;0,808802822;-1;0,894178097;0,948694535;0,948694535;0,929348283;0,938803346
GNQ;-1;-1;-1;-1;-1;-1;-1;-1
ERI;-1;-1;-1;-1;-1;-1;-1;-1
EST;-1;1,051707382;1,130811621;1,145364014;-1;1,151745958;1,170258218;1,172985822
ETH;-1;-1;-1;-1;-1;-1;0,754628693;0,754782106
FJI;-1;1,029718659;-1;0,980026755;-1;-1;-1;-1
FIN;-1;1,025087017;0,968988272;1,071895017;1,089032453;1,090353471;1,205103892;1,205103892
FRA;-1;0,995708402;1,033638147;1,06607958;1,11092089;1,111161798;1,105643802;1,115990063
GAB;-1;0,823177494;-1;0,887021959;0,9167557;0,9167557;0,916042837;0,918410989
GMB;-1;0,746850382;0,759008366;0,807914242;0,825777107;0,825777107;0,825758718;0,825885127
GEO;-1;-1;-1;-1;-1;0,972990113;-1;-1
DEU;-1;1,050269726;1,100453242;1,166388562;1,166960767;1,166960767;1,184172871;1,18416515
GHA;-1;0,955437753;-1;0,971036852;0,973919534;1,02043578;0,981974761;0,990534881
GRC;-1;0,930417423;-1;1,002411961;1,05269744;1,05269744;1,0358044;1,040515014
GRD;-1;-1;-1;-1;-1;-1;-1;-1
GTM;-1;0,752323055;-1;0,749109504;0,783525164;0,783525164;0,809578572;0,809620701
